"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2020","5,557.52","5,530.88","5,574.73","5,530.88","14.08B","0.50%"
"Nov 17, 2020","5,529.94","5,516.58","5,562.54","5,515.52","14.68B","0.64%"
"Nov 16, 2020","5,494.87","5,500.03","5,519.68","5,462.46","11.99B","0.62%"
"Nov 13, 2020","5,461.06","5,449.10","5,466.56","5,427.63","11.34B","0.04%"
"Nov 12, 2020","5,458.60","5,494.48","5,500.42","5,449.80","11.98B","-0.92%"
"Nov 11, 2020","5,509.51","5,475.56","5,520.91","5,471.59","16.52B","0.86%"
"Nov 10, 2020","5,462.74","5,424.73","5,469.18","5,412.59","14.96B","1.99%"
"Nov 09, 2020","5,356.00","5,371.97","5,395.71","5,319.42","12.15B","0.38%"
"Nov 06, 2020","5,335.53","5,276.16","5,335.53","5,246.70","10.47B","1.43%"
"Nov 05, 2020","5,260.33","5,161.39","5,260.33","5,161.39","10.88B","3.04%"
"Nov 04, 2020","5,105.20","5,170.82","5,188.01","5,105.20","10.40B","-1.05%"
"Nov 03, 2020","5,159.45","5,133.98","5,162.35","5,131.95","10.14B","0.87%"
"Nov 02, 2020","5,115.13","5,108.03","5,130.69","5,073.50","9.76B","-0.26%"
"Oct 27, 2020","5,128.23","5,133.54","5,155.57","5,110.62","10.71B","-0.31%"
"Oct 26, 2020","5,144.05","5,113.15","5,158.27","5,113.02","10.33B","0.62%"
"Oct 23, 2020","5,112.19","5,112.79","5,121.02","5,095.51","9.55B","0.40%"
"Oct 22, 2020","5,091.82","5,084.79","5,093.83","5,063.70","12.29B","-0.09%"
"Oct 21, 2020","5,096.45","5,116.79","5,131.51","5,083.66","10.48B","-0.07%"
"Oct 20, 2020","5,099.84","5,120.91","5,135.08","5,080.96","8.86B","-0.52%"
"Oct 19, 2020","5,126.33","5,116.76","5,128.65","5,090.78","11.11B","0.45%"
"Oct 16, 2020","5,103.41","5,111.43","5,115.56","5,067.59","9.25B","-0.03%"
"Oct 15, 2020","5,105.15","5,172.59","5,182.53","5,105.15","11.05B","-1.37%"
"Oct 14, 2020","5,176.10","5,134.66","5,177.92","5,125.04","11.99B","0.85%"
"Oct 13, 2020","5,132.57","5,093.42","5,132.96","5,064.17","11.06B","0.78%"
"Oct 12, 2020","5,093.10","5,078.13","5,103.50","5,078.13","9.16B","0.78%"
"Oct 09, 2020","5,053.66","5,036.48","5,057.84","5,029.15","6.90B","0.29%"
"Oct 08, 2020","5,039.14","5,018.74","5,039.14","5,001.52","8.03B","0.70%"
"Oct 07, 2020","5,004.33","4,976.57","5,014.61","4,962.09","9.29B","0.10%"
