"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2020","12,938.25","12,860.10","12,948.85","12,819.35","731.32K","0.50%"
"Nov 17, 2020","12,874.20","12,932.50","12,934.05","12,797.10","707.68K","1.21%"
"Nov 13, 2020","12,719.95","12,659.70","12,735.95","12,607.70","513.95K","0.23%"
"Nov 12, 2020","12,690.80","12,702.15","12,741.15","12,624.85","622.02K","-0.46%"
"Nov 11, 2020","12,749.15","12,680.60","12,769.75","12,571.10","880.48K","0.93%"
"Nov 10, 2020","12,631.10","12,556.40","12,643.90","12,475.25","847.45K","1.36%"
"Nov 09, 2020","12,461.05","12,399.40","12,474.05","12,367.35","553.45K","1.61%"
"Nov 06, 2020","12,263.55","12,156.65","12,280.40","12,131.85","576.84K","1.18%"
"Nov 05, 2020","12,120.30","12,062.40","12,131.10","12,027.60","632.46K","1.78%"
"Nov 04, 2020","11,908.50","11,783.35","11,929.65","11,756.40","667.29K","0.80%"
"Nov 03, 2020","11,813.50","11,734.45","11,836.20","11,723.30","674.30K","1.24%"
"Nov 02, 2020","11,669.15","11,697.35","11,725.65","11,557.40","568.43K","0.23%"
"Oct 30, 2020","11,642.40","11,678.45","11,748.95","11,535.45","553.67K","-0.24%"
"Oct 29, 2020","11,670.80","11,633.30","11,744.15","11,606.45","554.96K","-0.50%"
"Oct 28, 2020","11,729.60","11,922.60","11,929.40","11,684.85","704.02K","-1.34%"
"Oct 27, 2020","11,889.40","11,807.10","11,899.05","11,723.00","616.32K","1.03%"
"Oct 26, 2020","11,767.75","11,937.40","11,942.85","11,711.70","519.82K","-1.36%"
"Oct 23, 2020","11,930.35","11,957.90","11,974.55","11,908.75","502.34K","0.28%"
"Oct 22, 2020","11,896.45","11,890.00","11,939.55","11,823.45","544.90K","-0.35%"
"Oct 21, 2020","11,937.65","11,958.55","12,018.65","11,775.75","623.66K","0.34%"
"Oct 20, 2020","11,896.80","11,861.00","11,949.25","11,837.25","453.56K","0.20%"
"Oct 19, 2020","11,873.05","11,879.20","11,898.25","11,820.40","541.42K","0.94%"
"Oct 16, 2020","11,762.45","11,727.40","11,789.75","11,667.85","555.77K","0.70%"
"Oct 15, 2020","11,680.35","12,023.45","12,025.45","11,661.30","608.87K","-2.43%"
"Oct 14, 2020","11,971.05","11,917.40","11,997.20","11,822.15","569.25K","0.31%"
"Oct 13, 2020","11,934.50","11,934.65","11,988.20","11,888.90","458.31K","0.03%"
"Oct 12, 2020","11,930.95","11,973.55","12,022.05","11,867.20","522.63K","0.14%"
"Oct 09, 2020","11,914.20","11,852.05","11,938.60","11,805.20","611.08K","0.67%"
"Oct 08, 2020","11,834.60","11,835.40","11,905.70","11,791.15","608.77K","0.82%"
"Oct 07, 2020","11,738.85","11,679.25","11,763.05","11,629.35","513.37K","0.66%"
"Oct 06, 2020","11,662.40","11,603.45","11,680.30","11,564.30","561.45K","1.38%"
"Oct 05, 2020","11,503.35","11,487.80","11,578.05","11,452.30","530.60K","0.76%"
"Oct 01, 2020","11,416.95","11,364.45","11,428.60","11,347.05","447.74K","1.51%"
"Sep 30, 2020","11,247.55","11,244.45","11,295.40","11,184.55","499.34K","0.22%"
"Sep 29, 2020","11,222.40","11,288.60","11,305.40","11,181.00","498.30K","-0.05%"
"Sep 28, 2020","11,227.55","11,140.85","11,239.35","11,099.85","472.78K","1.60%"
"Sep 25, 2020","11,050.25","10,910.40","11,072.60","10,854.85","559.60K","2.26%"
