"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2020","6,531.10","6,498.20","6,541.20","6,494.70","805.51M","0.51%"
"Nov 17, 2020","6,498.20","6,484.30","6,530.40","6,484.30","971.35M","0.21%"
"Nov 16, 2020","6,484.30","6,405.20","6,487.30","6,405.20","40.17M","1.23%"
"Nov 13, 2020","6,405.20","6,418.40","6,418.40","6,377.60","688.64M","-0.20%"
"Nov 12, 2020","6,418.20","6,449.70","6,470.90","6,399.60","829.76M","-0.49%"
"Nov 11, 2020","6,449.70","6,340.50","6,451.00","6,340.50","1.02B","1.72%"
"Nov 10, 2020","6,340.50","6,298.80","6,438.20","6,298.80","1.25B","0.66%"
"Nov 09, 2020","6,298.80","6,190.20","6,303.10","6,190.20","591.59M","1.75%"
"Nov 06, 2020","6,190.20","6,139.60","6,202.30","6,139.60","665.17M","0.82%"
"Nov 05, 2020","6,139.60","6,062.10","6,143.70","6,062.10","678.42M","1.28%"
"Nov 04, 2020","6,062.10","6,066.40","6,096.40","5,986.00","674.33M","-0.07%"
"Nov 03, 2020","6,066.40","5,951.30","6,090.80","5,951.30","609.08M","1.93%"
"Nov 02, 2020","5,951.30","5,927.60","5,960.60","5,904.10","595.01M","0.40%"
"Oct 30, 2020","5,927.60","5,960.30","5,986.60","5,927.60","871.37M","-0.55%"
"Oct 29, 2020","5,960.30","6,057.70","6,057.70","5,940.00","697.44M","-1.61%"
"Oct 28, 2020","6,057.70","6,051.00","6,075.60","6,020.20","617.67M","0.11%"
"Oct 27, 2020","6,051.00","6,155.60","6,155.60","6,033.80","709.90M","-1.70%"
"Oct 26, 2020","6,155.60","6,167.00","6,206.50","6,154.80","606.42M","-0.18%"
"Oct 23, 2020","6,167.00","6,173.80","6,184.20","6,148.40","562.63M","-0.11%"
"Oct 22, 2020","6,173.80","6,191.80","6,191.80","6,100.60","716.03M","-0.29%"
"Oct 21, 2020","6,191.80","6,184.60","6,206.30","6,181.20","586.90M","0.12%"
"Oct 20, 2020","6,184.60","6,229.40","6,241.10","6,181.10","583.64M","-0.72%"
"Oct 19, 2020","6,229.40","6,176.80","6,248.30","6,176.80","486.78M","0.85%"
"Oct 16, 2020","6,176.80","6,210.30","6,216.20","6,165.00","619.00M","-0.54%"
"Oct 15, 2020","6,210.30","6,179.20","6,233.40","6,179.20","658.41M","0.50%"
"Oct 14, 2020","6,179.20","6,195.70","6,198.40","6,174.70","630.14M","-0.27%"
"Oct 13, 2020","6,195.70","6,132.00","6,214.70","6,132.00","642.82M","1.04%"
"Oct 12, 2020","6,131.90","6,102.20","6,132.00","6,093.10","489.51M","0.49%"
"Oct 09, 2020","6,102.20","6,102.00","6,127.40","6,087.60","564.44M","0.00%"
"Oct 08, 2020","6,102.20","6,036.40","6,123.40","6,036.40","630.68M","1.09%"
"Oct 07, 2020","6,036.40","5,962.10","6,043.80","5,944.70","627.13M","1.25%"
"Oct 06, 2020","5,962.10","5,941.60","5,963.90","5,912.70","625.75M","0.35%"
"Oct 05, 2020","5,941.60","5,791.50","5,942.80","5,791.50","430.90M","2.59%"
"Oct 02, 2020","5,791.50","5,872.90","5,872.90","5,779.60","776.28M","-1.39%"
"Oct 01, 2020","5,872.90","5,815.90","5,916.50","5,815.90","606.56M","0.98%"
"Sep 30, 2020","5,815.90","5,952.00","5,952.00","5,815.90","921.55M","-2.29%"
"Sep 29, 2020","5,952.10","5,952.30","5,995.40","5,935.10","625.44M","-0.00%"
"Sep 28, 2020","5,952.30","5,964.90","5,977.30","5,941.00","571.66M","-0.21%"
"Sep 25, 2020","5,964.90","5,875.90","5,973.70","5,875.90","673.48M","1.51%"
"Sep 24, 2020","5,875.90","5,923.90","5,923.90","5,824.80","703.77M","-0.81%"
"Sep 23, 2020","5,923.90","5,784.10","5,933.30","5,784.10","829.54M","2.42%"
"Sep 22, 2020","5,784.10","5,822.60","5,822.60","5,763.20","791.65M","-0.66%"
"Sep 21, 2020","5,822.60","5,864.50","5,868.50","5,808.20","687.88M","-0.71%"
"Sep 18, 2020","5,864.50","5,883.20","5,921.40","5,864.50","1.51B","-0.32%"
"Sep 17, 2020","5,883.20","5,956.10","5,956.50","5,883.20","914.26M","-1.22%"
"Sep 16, 2020","5,956.10","5,894.80","5,958.50","5,894.80","830.77M","1.04%"
"Sep 15, 2020","5,894.80","5,899.50","5,919.20","5,883.90","799.26M","-0.08%"
"Sep 14, 2020","5,899.50","5,859.40","5,903.20","5,859.40","615.77M","0.68%"
"Sep 11, 2020","5,859.40","5,908.50","5,908.50","5,836.20","620.67M","-0.83%"
"Sep 10, 2020","5,908.50","5,878.60","5,955.70","5,874.80","743.99M","0.51%"
"Sep 09, 2020","5,878.60","6,007.80","6,007.80","5,849.40","808.24M","-2.15%"
"Sep 08, 2020","6,007.80","5,944.80","6,025.50","5,944.80","609.83M","1.06%"
"Sep 07, 2020","5,944.80","5,925.50","5,958.90","5,869.90","583.56M","0.33%"
"Sep 04, 2020","5,925.50","6,112.60","6,112.60","5,918.80","761.76M","-3.06%"
"Sep 03, 2020","6,112.60","6,063.20","6,130.80","6,063.20","745.60M","0.81%"
"Sep 02, 2020","6,063.20","5,953.40","6,075.70","5,953.40","780.03M","1.84%"
"Sep 01, 2020","5,953.40","6,060.50","6,060.50","5,908.90","870.05M","-1.77%"
"Aug 31, 2020","6,060.50","6,073.80","6,093.90","6,060.50","802.09M","-0.22%"
"Aug 28, 2020","6,073.80","6,126.20","6,126.20","6,056.00","785.26M","-0.86%"
