"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2020","52,518.35","52,288.79","52,739.24","51,936.84","-","0.44%"
"Nov 17, 2020","52,288.79","52,551.86","52,710.52","52,217.69","-","-0.50%"
"Nov 16, 2020","52,551.86","52,517.57","52,921.70","52,476.72","-","0.07%"
"Nov 13, 2020","52,517.57","52,335.71","52,558.16","52,081.97","155.25M","0.35%"
"Nov 12, 2020","52,335.71","52,784.39","53,158.71","52,231.21","233.21M","-0.85%"
"Nov 11, 2020","52,784.39","52,922.51","53,056.47","52,503.14","270.66M","-0.26%"
"Nov 10, 2020","52,922.51","52,684.37","53,034.75","51,989.41","206.89M","0.45%"
"Nov 09, 2020","52,684.37","51,876.24","53,452.15","51,837.10","229.06M","1.56%"
"Nov 06, 2020","51,876.24","50,762.83","52,085.89","50,436.32","145.10M","2.19%"
"Nov 05, 2020","50,762.83","49,300.89","50,782.49","49,300.89","139.35M","2.97%"
"Nov 04, 2020","49,300.89","48,853.14","49,654.71","48,529.86","159.48M","0.92%"
"Nov 03, 2020","48,853.14","48,392.97","49,278.27","48,392.97","121.24M","0.95%"
"Nov 02, 2020","48,392.97","47,472.92","48,481.44","47,460.50","132.48M","1.94%"
"Oct 30, 2020","47,472.92","47,576.46","47,822.83","46,976.12","168.69M","-0.22%"
"Oct 29, 2020","47,576.46","47,930.58","48,484.62","47,108.35","141.81M","-0.74%"
"Oct 28, 2020","47,930.58","49,560.81","49,875.70","47,888.66","139.73M","-3.29%"
"Oct 27, 2020","49,560.81","50,286.90","50,521.54","49,466.77","104.24M","-1.44%"
"Oct 26, 2020","50,286.90","50,692.28","50,702.11","50,218.79","91.75M","-0.80%"
"Oct 23, 2020","50,692.28","50,276.84","50,946.62","50,261.67","183.85M","0.83%"
"Oct 22, 2020","50,276.84","50,905.12","50,905.90","50,220.66","196.59M","-1.23%"
"Oct 21, 2020","50,905.12","50,851.62","51,052.14","50,503.67","134.18M","0.11%"
"Oct 20, 2020","50,851.62","50,741.94","50,910.58","50,418.43","109.01M","0.22%"
