"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","5,567.10","5,525.59","5,572.43","5,501.24","-","0.19%"
"Sep 29, 2020","5,556.37","5,552.89","5,570.81","5,518.45","-","-0.35%"
"Sep 28, 2020","5,575.89","5,490.48","5,576.98","5,484.60","-","3.22%"
"Sep 25, 2020","5,401.88","5,465.43","5,468.41","5,346.59","-","-1.09%"
"Sep 24, 2020","5,461.39","5,424.09","5,495.28","5,420.63","-","-0.29%"
"Sep 23, 2020","5,477.16","5,518.03","5,558.48","5,477.16","-","0.39%"
"Sep 22, 2020","5,456.11","5,471.41","5,501.05","5,455.49","-","0.41%"
"Sep 21, 2020","5,433.60","5,631.35","5,631.35","5,417.46","-","-4.37%"
"Sep 18, 2020","5,682.19","5,723.09","5,745.88","5,682.19","-","-0.69%"
"Sep 17, 2020","5,721.91","5,657.92","5,738.27","5,647.41","-","-0.36%"
"Sep 16, 2020","5,742.46","5,729.01","5,751.97","5,710.41","-","0.28%"
"Sep 15, 2020","5,726.22","5,727.56","5,745.72","5,691.81","-","0.18%"
"Sep 14, 2020","5,715.78","5,774.64","5,778.82","5,701.07","-","-0.07%"
"Sep 11, 2020","5,719.65","5,717.89","5,742.44","5,682.61","-","-0.05%"
"Sep 10, 2020","5,722.24","5,746.88","5,760.77","5,701.87","-","-0.22%"
"Sep 09, 2020","5,734.57","5,627.62","5,743.41","5,620.21","-","2.07%"
"Sep 08, 2020","5,618.02","5,686.64","5,695.87","5,569.62","-","-1.01%"
"Sep 07, 2020","5,675.42","5,602.14","5,682.89","5,597.62","-","2.01%"
"Sep 04, 2020","5,563.70","5,595.45","5,686.96","5,525.06","-","-1.64%"
"Sep 03, 2020","5,656.75","5,785.71","5,831.42","5,633.87","-","-1.41%"
"Sep 02, 2020","5,737.43","5,663.19","5,763.49","5,659.08","-","2.03%"
"Sep 01, 2020","5,623.37","5,650.54","5,689.58","5,569.46","-","0.23%"
"Aug 31, 2020","5,610.72","5,679.50","5,698.72","5,601.35","-","-0.71%"
"Aug 28, 2020","5,650.80","5,697.31","5,700.20","5,615.28","-","-0.62%"
"Aug 27, 2020","5,685.93","5,733.87","5,738.91","5,682.00","-","-0.71%"
"Aug 26, 2020","5,726.74","5,662.26","5,727.68","5,648.65","-","0.99%"
"Aug 25, 2020","5,670.84","5,703.42","5,740.35","5,670.49","-","-0.04%"
"Aug 24, 2020","5,672.90","5,620.62","5,689.39","5,611.43","-","2.36%"
"Aug 21, 2020","5,541.87","5,591.63","5,605.46","5,484.88","-","-0.51%"
"Aug 20, 2020","5,570.10","5,569.85","5,596.63","5,537.72","-","-1.14%"
"Aug 19, 2020","5,634.15","5,573.89","5,635.60","5,571.80","-","0.74%"
"Aug 18, 2020","5,592.52","5,572.93","5,666.71","5,559.93","-","-0.30%"
"Aug 17, 2020","5,609.34","5,610.99","5,626.74","5,577.65","-","0.15%"
"Aug 14, 2020","5,600.82","5,628.75","5,631.33","5,555.80","-","-0.71%"
"Aug 13, 2020","5,641.11","5,663.23","5,676.41","5,624.81","-","-0.50%"
"Aug 12, 2020","5,669.58","5,608.28","5,688.03","5,591.62","-","0.86%"
"Aug 11, 2020","5,621.15","5,560.27","5,664.09","5,558.14","-","2.05%"
"Aug 10, 2020","5,508.37","5,526.49","5,536.94","5,473.05","-","0.10%"
"Aug 07, 2020","5,502.97","5,485.62","5,510.39","5,434.50","-","0.66%"
