Date,Price,Open,High,Low,Volume,Change,Country
2020-09-30,4518.06,4495.22,4518.83,4489.57,88.59,0.52,UAE
2020-09-29,4494.75,4492.18,4509.04,4492.18,72.95,0.06,UAE
2020-09-28,4492.18,4485.42,4508.13,4485.15,97.66,0.14,UAE
2020-09-27,4485.84,4462.17,4491.12,4462.17,44.59,0.43,UAE
2020-09-24,4466.82,4489.21,4489.21,4462.35,90.06,-0.52,UAE
2020-09-23,4490.23,4498.74,4521.16,4489.47,96.94,-0.18,UAE
2020-09-22,4498.23,4491.35,4519.75,4483.43,100.13,0.13,UAE
2020-09-21,4492.19,4546.16,4547.54,4492.02,80.65,-1.19,UAE
2020-09-20,4546.16,4512.29,4546.16,4502.18,75.73,0.79,UAE
2020-09-17,4510.6,4504.31,4512.79,4485.69,179.21,0.12,UAE
2020-09-16,4505.33,4505.94,4516.33,4496.25,96.15,-0.08,UAE
2020-09-15,4509.0,4515.58,4520.03,4498.29,95.22,-0.14,UAE
2020-09-14,4515.11,4511.19,4527.92,4511.19,70.2,0.11,UAE
2020-09-13,4510.07,4520.25,4523.61,4504.67,68.96,-0.2,UAE
2020-09-10,4519.13,4508.82,4527.09,4508.82,91.92,0.23,UAE
2020-09-09,4508.82,4517.52,4528.89,4504.62,86.69,-0.24,UAE
2020-09-08,4519.56,4507.95,4525.51,4507.0,101.98,0.26,UAE
2020-09-07,4507.95,4522.95,4537.52,4507.95,95.4,-0.33,UAE
2020-09-06,4522.95,4552.2,4552.2,4518.26,76.72,-0.64,UAE
2020-09-03,4552.2,4548.15,4566.27,4531.83,108.75,0.11,UAE
2020-09-02,4547.13,4524.9,4552.37,4524.75,102.01,0.48,UAE
2020-09-01,4525.41,4519.32,4555.81,4515.43,101.78,0.13,UAE
2020-08-31,4519.32,4538.0,4556.71,4519.03,147.83,-0.4,UAE
2020-08-30,4537.53,4535.57,4548.76,4519.04,72.27,0.05,UAE
2020-08-27,4535.15,4529.79,4539.29,4507.47,89.63,0.12,UAE
2020-08-26,4529.79,4558.69,4565.12,4506.93,82.92,-0.63,UAE
2020-08-25,4558.69,4569.91,4581.17,4539.9,105.69,-0.25,UAE
2020-08-24,4569.91,4543.47,4575.84,4535.03,161.61,0.59,UAE
2020-08-20,4542.96,4495.27,4542.96,4486.82,156.62,0.94,UAE
2020-08-19,4500.66,4445.48,4514.27,4439.27,160.32,1.24,UAE
2020-08-18,4445.48,4430.87,4445.81,4417.1,129.0,0.32,UAE
2020-08-17,4431.33,4419.63,4439.23,4415.34,154.57,0.41,UAE
2020-08-16,4413.27,4402.91,4415.22,4387.04,145.23,0.61,UAE
2020-08-13,4386.67,4360.09,4386.71,4355.25,72.98,0.62,UAE
