Date,Price,Open,High,Low,Vol,Change %
30-Sep-20,"16,170.82","16,228.03","16,274.96","16,170.35",-,-0.25%
29-Sep-20,"16,211.52","16,231.19","16,232.58","16,131.51",169.38M,-0.19%
28-Sep-20,"16,242.81","16,237.11","16,286.79","16,185.06",235.69M,1.10%
25-Sep-20,"16,065.35","15,878.15","16,088.83","15,832.02",177.94M,0.96%
24-Sep-20,"15,912.26","15,781.43","15,994.19","15,724.95",206.01M,0.60%
23-Sep-20,"15,817.11","16,183.45","16,195.01","15,816.44",222.69M,-2.02%
22-Sep-20,"16,142.89","16,048.88","16,180.15","16,000.50",194.99M,1.01%
21-Sep-20,"15,981.77","15,981.31","15,981.77","15,763.05",270.46M,-1.34%
18-Sep-20,"16,198.97","16,289.51","16,310.03","16,174.34",532.48M,-0.29%
17-Sep-20,"16,246.72","16,134.54","16,294.32","16,103.07",206.87M,-0.30%
16-Sep-20,"16,295.66","16,495.59","16,495.59","16,295.66",228.99M,-0.83%
15-Sep-20,"16,431.27","16,468.20","16,515.21","16,408.12",208.58M,0.43%
14-Sep-20,"16,360.14","16,314.86","16,373.31","16,295.08",231.70M,0.85%
11-Sep-20,"16,222.46","16,252.12","16,316.79","16,143.15",186.49M,0.23%
10-Sep-20,"16,185.32","16,431.59","16,431.59","16,153.18",215.66M,-1.21%
09-Sep-20,"16,383.60","16,250.42","16,432.74","16,250.42",227.75M,1.76%
08-Sep-20,"16,099.52","16,064.48","16,222.19","15,956.04",282.43M,-0.73%
04-Sep-20,"16,218.01","16,471.93","16,507.20","16,086.24",260.64M,-1.40%
03-Sep-20,"16,448.89","16,675.96","16,720.81","16,386.28",204.79M,-1.49%
02-Sep-20,"16,697.97","16,711.27","16,725.68","16,650.03",212.02M,0.32%
01-Sep-20,"16,644.99","16,533.18","16,644.99","16,462.73",199.99M,0.79%
31-Aug-20,"16,514.44","16,685.48","16,685.48","16,498.08",240.91M,-1.15%
28-Aug-20,"16,705.79","16,780.92","16,781.85","16,681.39",208.79M,-0.15%
27-Aug-20,"16,731.49","16,823.38","16,835.09","16,650.52",188.25M,-0.35%
26-Aug-20,"16,789.97","16,642.55","16,792.69","16,611.41",171.98M,1.04%
